"frame_num","time_elapsed","bboxes"
"0","44.34944152832031","[[0.5562499761581421,0.3765625059604645,0.6104166507720947,0.4515624940395355],[0.23749999701976776,0.12343750149011612,0.4166666567325592,0.503125011920929]]"
"1","8.669183731079102","[[0.5581797361373901,0.38615599274635315,0.6147362589836121,0.4654041826725006],[0.22672037780284882,0.13359974324703217,0.408698171377182,0.5226473212242126]]"
"2","6.567935943603516","[[0.554633617401123,0.3846684396266937,0.6127681136131287,0.4653303921222687],[0.21351756155490875,0.14729049801826477,0.4031505286693573,0.5489385724067688]]"
"3","6.561791896820068","[[0.552940845489502,0.3798730969429016,0.6062731146812439,0.4547211229801178],[0.206717386841774,0.1534140557050705,0.3964943587779999,0.5557977557182312]]"
"4","6.551551818847656","[[0.5532804131507874,0.38006749749183655,0.6023471355438232,0.4468621611595154],[0.19601817429065704,0.15335141122341156,0.39140987396240234,0.5700552463531494]]"
"5","4.472832202911377","[[0.5503355264663696,0.37996599078178406,0.5998262763023376,0.4495394825935364],[0.1881369799375534,0.15174166858196259,0.38902977108955383,0.5749050378799438]]"
"6","6.569983959197998","[[0.5513709783554077,0.38033604621887207,0.6001830697059631,0.4480857849121094],[0.1792665719985962,0.1551031768321991,0.38033854961395264,0.5705665349960327]]"
"7","4.477952003479004","[[0.5513054132461548,0.38488271832466125,0.5980498790740967,0.44988712668418884],[0.1667896807193756,0.152115136384964,0.3859085738658905,0.5725026726722717]]"
"8","6.582272052764893","[[0.5517456531524658,0.3947230279445648,0.5969827175140381,0.4563969671726227],[0.153218075633049,0.14632867276668549,0.38908490538597107,0.5752386450767517]]"
"9","4.483071804046631","[[0.5487969517707825,0.39767318964004517,0.5913668870925903,0.45415249466896057],[0.1326906532049179,0.12245896458625793,0.37672725319862366,0.5615655183792114]]"
"10","4.490240097045898","[[0.5466189384460449,0.4015801250934601,0.5877155065536499,0.45675894618034363],[0.11475024372339249,0.10031864792108536,0.36489829421043396,0.5485990643501282]]"
"11","6.590464115142822","[[0.5481671094894409,0.40710851550102234,0.5897230505943298,0.461948037147522],[0.09914734959602356,0.08028677105903625,0.3506065309047699,0.5357595682144165]]"
"12","8.691712379455566","[[0.5566151738166809,0.40638503432273865,0.5979874730110168,0.46139296889305115],[0.09378544241189957,0.06608903408050537,0.34827736020088196,0.5243580937385559]]"
"13","10.793984413146973","[[0.5604166388511658,0.4296875,0.612500011920929,0.503125011920929],[0.558718204498291,0.4084981083869934,0.6008570790290833,0.4649059474468231],[0.09251667559146881,0.05666918307542801,0.35012972354888916,0.5151650905609131]]"
"14","10.818559646606445","[[0.5605037212371826,0.42488589882850647,0.6186623573303223,0.5063642859458923],[0.5593143105506897,0.41080233454704285,0.6001350283622742,0.46544569730758667],[0.09186030924320221,0.04798832908272743,0.3488829433917999,0.5048216581344604]]"
"15","10.803199768066406","[[0.5637857913970947,0.4285057485103607,0.6196696758270264,0.5070640444755554],[0.5599324107170105,0.41313600540161133,0.5993910431861877,0.4659559726715088],[0.09168923646211624,0.04227811470627785,0.3475133776664734,0.4975743889808655]]"
"16","12.900351524353027","[[0.5681962370872498,0.42884349822998047,0.6264562010765076,0.5115004181861877],[0.5605749487876892,0.41550230979919434,0.5986226201057434,0.46643364429473877],[0.09248638898134232,0.05111577361822128,0.3452530801296234,0.4996730387210846]]"
"17","15.00160026550293","[[0.5704909563064575,0.42975562810897827,0.6284635663032532,0.5129072666168213],[0.5612446069717407,0.4179050028324127,0.5978270769119263,0.466874897480011],[0.10006022453308105,0.06868675351142883,0.34988224506378174,0.5112432241439819]]"
"18","4.50764799118042","[[0.5750496983528137,0.42361828684806824,0.6372023224830627,0.5126425623893738],[0.11712010949850082,0.08789926022291183,0.3665218949317932,0.5228003859519958]]"
"19","10.818559646606445","[[0.5785331130027771,0.4239533245563507,0.6407864093780518,0.5133952498435974],[0.13286881148815155,0.10556845366954803,0.3678886294364929,0.5394505858421326]]"
"20","6.62937593460083","[[0.5763393640518188,0.42418405413627625,0.6377928256988525,0.5135102868080139],[0.1462581753730774,0.12297965586185455,0.37204644083976746,0.5555249452590942]]"
