"frame_num","time_elapsed","bboxes"
"0","42.57382583618164","[[0.2378862202167511,0.12452264875173569,0.41863593459129333,0.5045866966247559],[0.5573896765708923,0.37789979577064514,0.6106628179550171,0.45233455300331116]]"
"1","7.4352641105651855","[[0.22895082831382751,0.13420894742012024,0.4100814759731293,0.5246637463569641],[0.5586770176887512,0.38625603914260864,0.6162710785865784,0.46690502762794495]]"
"2","5.736447811126709","[[0.2133309543132782,0.14892908930778503,0.4061381220817566,0.5499840974807739],[0.5545417666435242,0.3848503828048706,0.6131366491317749,0.4646400511264801]]"
"3","6.392831802368164","[[0.20853662490844727,0.1533174067735672,0.3966526389122009,0.5516296625137329],[0.5543683171272278,0.3809479773044586,0.6048751473426819,0.45240896940231323]]"
"4","7.459680080413818","[[0.19676898419857025,0.14957909286022186,0.3935811519622803,0.5723104476928711],[0.555855929851532,0.3831563889980316,0.6024550199508667,0.445138543844223]]"
"5","6.019231796264648","[[0.18844705820083618,0.15302519500255585,0.39301639795303345,0.5699025392532349],[0.550643801689148,0.3792877793312073,0.6018938422203064,0.4561902582645416]]"
"6","7.374847888946533","[[0.1807505488395691,0.16284437477588654,0.38059002161026,0.557085394859314],[0.5529022216796875,0.3814869821071625,0.602584958076477,0.44939717650413513]]"
"7","7.008351802825928","[[0.1545977145433426,0.15952205657958984,0.40405431389808655,0.5608094930648804],[0.55247962474823,0.3889102339744568,0.5998963117599487,0.45180097222328186]]"
"8","6.159200191497803","[[0.1418648064136505,0.1505729854106903,0.40413689613342285,0.5669461488723755],[0.5524805188179016,0.4011288583278656,0.5981308221817017,0.45967739820480347]]"
"9","7.299071788787842","[[0.1257091611623764,0.11400177329778671,0.37675151228904724,0.5507224202156067],[0.549953818321228,0.40025585889816284,0.5903590321540833,0.45284050703048706]]"
"10","7.062560081481934","[[0.11157679557800293,0.09287957847118378,0.3638959527015686,0.5404651165008545],[0.5471367239952087,0.4026106297969818,0.5893263816833496,0.4595879018306732]]"
"11","6.988800048828125","[[0.10148165374994278,0.07430198043584824,0.34433454275131226,0.5284516215324402],[0.549701988697052,0.4080491065979004,0.5948079228401184,0.46704167127609253]]"
"12","5.688320159912109","[[0.0992630124092102,0.06777451187372208,0.3511975407600403,0.5149073600769043],[0.5611047148704529,0.4042331576347351,0.6056197285652161,0.46281176805496216]]"
"13","6.534272193908691","[[0.0995008572936058,0.06322626769542694,0.35589784383773804,0.5056614875793457],[0.5589808225631714,0.40710338950157166,0.6055984497070312,0.4694497585296631],[0.561689019203186,0.4309219717979431,0.6139217615127563,0.5045088529586792]]"
