"frame_num","time_elapsed","bboxes"
"0","52.37859344482422","[[0.26093652844429016,0.1395616978406906,0.422222375869751,0.5044253468513489],[0.5637101531028748,0.3816509246826172,0.6086483001708984,0.4753030240535736]]"
"1","20.116479873657227","[[0.252800315618515,0.1507650911808014,0.4159482419490814,0.5316372513771057],[0.5635112524032593,0.3855787217617035,0.6085258722305298,0.47895923256874084]]"
"2","36.844478607177734","[[0.23703250288963318,0.16085031628608704,0.40773192048072815,0.5499420762062073],[0.5604630708694458,0.39040228724479675,0.6082608103752136,0.4851910471916199]]"
"3","21.55014419555664","[[0.2191130369901657,0.1653076708316803,0.3969944715499878,0.5617204904556274],[0.559003472328186,0.3911091685295105,0.6079043745994568,0.49080151319503784]]"
"4","20.161535263061523","[[0.20900173485279083,0.16227540373802185,0.3906896114349365,0.5804115533828735],[0.5569916367530823,0.3928661346435547,0.6062040328979492,0.49384400248527527]]"
"5","19.23891258239746","[[0.20209820568561554,0.16636337339878082,0.3881472945213318,0.5845672488212585],[0.5560294389724731,0.39610031247138977,0.603519082069397,0.4934374988079071]]"
"6","18.852863311767578","[[0.1905314177274704,0.15401044487953186,0.3779008984565735,0.5837342143058777],[0.5565698146820068,0.40184485912323,0.6029316186904907,0.49765655398368835]]"
"7","19.602432250976562","[[0.17514102160930634,0.15287359058856964,0.3706248700618744,0.5887781977653503],[0.555598258972168,0.40193575620651245,0.6019783020019531,0.4997917115688324]]"
"8","23.384063720703125","[[0.153113454580307,0.14322495460510254,0.3592712879180908,0.5763238668441772],[0.5541974902153015,0.3989311158657074,0.6016094088554382,0.5021681785583496]]"
"9","20.014080047607422","[[0.13444092869758606,0.12165411561727524,0.3499656319618225,0.5719814300537109],[0.5518869161605835,0.4013717770576477,0.6024127006530762,0.5109041333198547]]"
"10","19.777536392211914","[[0.11122538894414902,0.09351000934839249,0.34547215700149536,0.5576995015144348],[0.5513643026351929,0.40350469946861267,0.6032406687736511,0.5136004090309143]]"
"11","28.791807174682617","[[0.10392296314239502,0.07675225287675858,0.34124600887298584,0.5561134219169617],[0.5555938482284546,0.4084019362926483,0.6079452037811279,0.5197991728782654]]"
"12","18.99519920349121","[[0.099465511739254,0.05846025049686432,0.3386080861091614,0.5474748015403748],[0.5610352754592896,0.41948583722114563,0.6139171123504639,0.5238200426101685]]"
"13","20.126880645751953","[[0.10074075311422348,0.04326281696557999,0.3326380252838135,0.5323917865753174],[0.565649151802063,0.427766352891922,0.612521767616272,0.5264286398887634]]"
"14","19.472383499145508","[[0.09871841967105865,0.03492460399866104,0.3313975930213928,0.5219837427139282],[0.5676488876342773,0.43070682883262634,0.6162979602813721,0.5298647284507751]]"
"15","18.406400680541992","[[0.09984081983566284,0.04030896723270416,0.33358392119407654,0.5172821879386902],[0.5718644261360168,0.4284530580043793,0.6187261343002319,0.529008150100708]]"
"16","21.744640350341797","[[0.10673632472753525,0.04603659361600876,0.3371357023715973,0.5130592584609985],[0.5716574192047119,0.4182679057121277,0.6230402588844299,0.5303974151611328]]"
"17","20.84761619567871","[[0.13875147700309753,0.08836377412080765,0.34628191590309143,0.5258665680885315],[0.5749105215072632,0.421679824590683,0.6224091649055481,0.5284790396690369]]"
"18","20.385791778564453","[[0.14608266949653625,0.0885307788848877,0.35686856508255005,0.5486803650856018],[0.5795725584030151,0.42216119170188904,0.6287142038345337,0.5297627449035645]]"
"19","32.061439514160156","[[0.1590932458639145,0.10862895846366882,0.3575747013092041,0.5635216236114502],[0.5820890665054321,0.42363885045051575,0.631199061870575,0.5281784534454346]]"
"20","31.37126350402832","[[0.14609479904174805,0.1246865764260292,0.34819307923316956,0.5968900322914124],[0.581957221031189,0.42576736211776733,0.6294585466384888,0.5280348062515259]]"
"21","25.1527042388916","[[0.1512644737958908,0.14793141186237335,0.3522525429725647,0.6004241704940796],[0.5812481045722961,0.42826491594314575,0.6277762651443481,0.5248163342475891]]"
"22","25.841503143310547","[[0.1763240396976471,0.15275879204273224,0.36579760909080505,0.5807767510414124],[0.5836034417152405,0.42691469192504883,0.6298816800117493,0.5241503119468689]]"
"23","24.436735153198242","[[0.1737356185913086,0.16508905589580536,0.3648587763309479,0.5815221667289734],[0.5858116149902344,0.4240325689315796,0.6310128569602966,0.5175753235816956]]"
"24","22.907712936401367","[[0.18321283161640167,0.1557256579399109,0.36875301599502563,0.582072377204895],[0.5863639712333679,0.4199683964252472,0.6320446729660034,0.5185028314590454]]"
"25","22.204416275024414","[[0.19053444266319275,0.16054211556911469,0.37284618616104126,0.5650692582130432],[0.5882643461227417,0.4148092567920685,0.6336545348167419,0.51446932554245]]"
"26","20.939775466918945","[[0.21511098742485046,0.165229931473732,0.37869948148727417,0.538303792476654],[0.5896769762039185,0.40676677227020264,0.6341955065727234,0.5097886323928833]]"
