"frame_num","time_elapsed","bboxes"
"0","42.84415817260742","[[0.5625,0.3812499940395355,0.6083333492279053,0.4749999940395355],[0.2604166567325592,0.13906249403953552,0.4208333194255829,0.503125011920929]]"
"1","19.490623474121094","[[0.5625,0.3843746781349182,0.6083333492279053,0.4781246781349182],[0.25143542885780334,0.1515185832977295,0.41523268818855286,0.5297275185585022]]"
"2","10.033151626586914","[[0.5604524612426758,0.3892298638820648,0.606459379196167,0.483931303024292],[0.2361845076084137,0.15914788842201233,0.4060962498188019,0.5493972301483154]]"
"3","7.664576053619385","[[0.558445155620575,0.3915879428386688,0.6060070395469666,0.48992881178855896],[0.21985867619514465,0.16339777410030365,0.3955124318599701,0.5635964274406433]]"
"4","10.055680274963379","[[0.5562050938606262,0.39320412278175354,0.6044790744781494,0.49375349283218384],[0.20744670927524567,0.16390536725521088,0.38886559009552,0.5789572596549988]]"
"5","7.730175971984863","[[0.5541645288467407,0.3948667049407959,0.602417528629303,0.49451306462287903],[0.1999068260192871,0.1652645319700241,0.38551652431488037,0.5883347988128662]]"
"6","7.4547200202941895","[[0.5547525882720947,0.3998386263847351,0.6021027565002441,0.4978099763393402],[0.18872417509555817,0.15735194087028503,0.3777390420436859,0.5888283848762512]]"
"7","7.527423858642578","[[0.5536637902259827,0.40189623832702637,0.600530207157135,0.499430775642395],[0.17573682963848114,0.1527545005083084,0.3690294027328491,0.5922402739524841]]"
"8","8.259488105773926","[[0.5532763004302979,0.4014577567577362,0.6000795364379883,0.5008937120437622],[0.15748219192028046,0.14217910170555115,0.3575039803981781,0.5868531465530396]]"
"9","8.358943939208984","[[0.5513179898262024,0.4024103283882141,0.6004281044006348,0.5064173340797424],[0.13875417411327362,0.1255449801683426,0.3464573919773102,0.5803318023681641]]"
"10","8.713215827941895","[[0.5503498911857605,0.40419623255729675,0.6008970737457275,0.5110011696815491],[0.11887484043836594,0.1003059446811676,0.33804136514663696,0.5674246549606323]]"
"11","8.262495994567871","[[0.5526048541069031,0.4077935218811035,0.6041104793548584,0.5168594121932983],[0.10528311878442764,0.08145011961460114,0.3336767256259918,0.5606259107589722]]"
"12","7.710720062255859","[[0.5575796365737915,0.41492995619773865,0.6095561385154724,0.5234236121177673],[0.0968257337808609,0.06247269734740257,0.33216431736946106,0.5525379776954651]]"
"13","7.6943359375","[[0.5614631175994873,0.4218378961086273,0.6123627424240112,0.5276243090629578],[0.09304598718881607,0.04418352246284485,0.3302784264087677,0.5402515530586243]]"
"14","7.646080017089844","[[0.5644655227661133,0.42710429430007935,0.6146082282066345,0.5314340591430664],[0.09082244336605072,0.03122350573539734,0.32975003123283386,0.5307213664054871]]"
"15","8.353792190551758","[[0.5680844187736511,0.4282342195510864,0.6170437932014465,0.5313942432403564],[0.09056894481182098,0.027589229866862297,0.3310152590274811,0.5263072848320007]]"
"16","8.739839553833008","[[0.5706160068511963,0.4235295057296753,0.6208507418632507,0.5300823450088501],[0.09501498192548752,0.029064606875181198,0.3344022333621979,0.5232611298561096]]"
"17","8.454143524169922","[[0.5720174312591553,0.4224758744239807,0.6217702627182007,0.5296655893325806],[0.11406975984573364,0.053329043090343475,0.34619617462158203,0.5347395539283752]]"
